2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 26, Current best: 520.5293470904007, Global best: 520.5293470904007, Runtime: 0.00981 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 27, Current best: 520.5293470904007, Global best: 520.5293470904007, Runtime: 0.00956 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 28, Current best: 520.6166078346978, Global best: 520.5293470904007, Runtime: 0.00956 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 29, Current best: 520.6166078346978, Global best: 520.5293470904007, Runtime: 0.01084 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 30, Current best: 520.6166078346978, Global best: 520.5293470904007, Runtime: 0.00973 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 31, Current best: 520.6166078346978, Global best: 520.5293470904007, Runtime: 0.00952 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 32, Current best: 520.6166078346978, Global best: 520.5293470904007, Runtime: 0.00971 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 33, Current best: 520.6166078346978, Global best: 520.5293470904007, Runtime: 0.01245 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 34, Current best: 520.6166078346978, Global best: 520.5293470904007, Runtime: 0.01143 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 35, Current best: 520.6166078346978, Global best: 520.5293470904007, Runtime: 0.00956 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 36, Current best: 520.6166078346978, Global best: 520.5293470904007, Runtime: 0.00957 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 37, Current best: 520.8214398703442, Global best: 520.5293470904007, Runtime: 0.01034 seconds
2024/09/07 11:06:28 AM, INFO, mealpy.swarm_based.ABC.OriginalABC: >>>Problem: P, Epoch: 38, Current best: 520.8214398703442, Global best: 520.5293470904007, Runtime: 0.00927 seconds
